1;АВАТЕК 15 % СС;Не требуется;11;1150;2021-04-06
2;АВЕРОФАРМ;Не требуется;7;1550;2020-03-13
3;АВЕРСЕКТ - 2;Не требуется;8;8550;2013-02-16
4;АВЕРСЕКТ К&C;Не требуется;20;1850;2011-12-18
5;АВЕРСЕКТ-2 ВК;Не требуется;30;7550;2016-10-10
6;АВЕРТЕЛЬ;Не требуется;15;1500;2020-09-13
7;АВИЗИМ 1100;Не требуется;13;2550;2011-09-06
8;АВИЗИМ 1200;Требуется;20;8300;2011-10-26
9;АВИЗИМ 1300;Не требуется;12;5650;2013-04-25
10;АВИЗИМ 1500;Не требуется;16;7600;2016-08-07
11;АВИМУТИН ГИДРО;Требуется;13;2050;2013-04-05
12;АГИТА 10 WG;Не требуется;21;4000;2017-07-05
13;АГИФЛАЙ;Не требуется;16;2700;2016-04-29
14;АДВАНТЕЙДЖ 40;Не требуется;6;1200;2018-07-29
15;АДВАНТЕЙДЖ 80;Требуется;7;9850;2020-02-06
16;АДВАНТИКС;Не требуется;22;7950;2011-06-17
17;АДВОКАТ;Не требуется;13;8750;2010-09-17
18;АЗИКАН;Требуется;8;8350;2014-10-04
19;АЗИНОКС;Требуется;19;8550;2020-08-06
20;АЗИНОКС ПЛЮС;Не требуется;5;2850;2010-04-08
21;АЗИПИРИН;Требуется;15;6900;2011-01-11
22;АЗИТРОНИТ;Не требуется;15;1450;2010-06-26
23;АЗОКСИВЕТ;Требуется;28;6750;2019-04-09
24;АЙНИЛ 1%;Не требуется;6;5800;2014-06-28
25;АЙНИЛ 10 %;Требуется;21;1650;2012-08-26
26;АЙРОНБУСТЕР;Не требуется;30;5100;2015-07-26
27;АЙСИДИВИТ;Требуется;29;3550;2011-04-09
28;АКАРАСАН;Требуется;27;6150;2018-11-22
29;АКАРОМЕКТИН;Не требуется;9;3300;2014-05-27
30;АКВАРЭТ-КОНЦЕНТРАТ;Требуется;27;5350;2013-05-09
31;АКВАРЭТ-ПРИМАНКА;Требуется;26;3700;2020-04-22
32;АКВИМАГ;Не требуется;30;1150;2017-01-03
33;АКРОЗОЛЬ;Требуется;7;5950;2015-10-24
34;АЛАМИЦИН LA 300;Не требуется;25;7950;2017-05-20
35;АЛАМИЦИН АЭРОЗОЛЬ;Не требуется;24;9050;2014-10-10
36;АЛЗАН;Требуется;14;6600;2018-01-14
37;АЛИЗИН;Требуется;16;3150;2010-01-11
38;АЛЛЕРВЕТ 1%;Требуется;12;8400;2019-03-13
39;АЛЛЕРДЕРМ СПОТ-ОН;Не требуется;26;9000;2013-12-28
40;АЛЬБАЗЕН;Требуется;8;3200;2019-05-21
41;АЛЬБАЗЕН 10 %;Требуется;24;1200;2012-12-29
42;АЛЬБАЗЕН 20 %;Требуется;6;1650;2015-05-21
43;АЛЬБАМЕЛИН;Не требуется;5;6800;2014-04-16
44;АЛЬБЕН;Требуется;21;8800;2021-03-21
45;АЛЬБЕН ГРАНУЛЫ;Не требуется;10;1900;2020-04-23
46;АЛЬБЕН С;Требуется;7;2750;2019-05-12
47;АЛЬБЕНДАЗОЛ ГРАНУЛЯТ 10 %;Не требуется;7;1550;2013-08-30
48;АЛЬБЕНДАЗОЛ СУСПЕНЗИЯ 10 %;Требуется;24;1050;2012-11-30
49;АЛЬБЕНДАЗОЛ ТАБЛЕТКИ 18 %;Не требуется;13;4100;2020-10-10
50;АЛЬВЕСОЛ;Не требуется;21;7450;2010-09-25
51;АЛЬВЕТ;Не требуется;15;4050;2018-02-08
52;АЛЬВЕТ СУСПЕНЗИЯ;Требуется;27;2550;2014-05-16
53;АЛЬГАФЕРРИН;Не требуется;9;7000;2013-10-20
54;АЛЬФА ВЕТ;Не требуется;15;4350;2013-12-08
55;АЛЮМИНИУМ-СПРЕЙ;Требуется;20;7600;2015-02-11
56;АМИДЕЛЬ-ГЕЛЬ;Не требуется;24;7550;2020-04-24
57;АМИЛОСУБТИЛИН Г3Х;Не требуется;18;6900;2018-01-29
58;АМИНОВИТАЛ;Не требуется;7;8050;2020-09-05
59;АМИПОЛ–Т;Не требуется;13;2250;2010-11-12
60;АМИТ;Требуется;15;1250;2014-07-24
61;АМИТ ФОРТЕ;Требуется;24;7950;2017-10-11
62;АМИТАН-1;Требуется;24;1450;2019-12-08
63;АМИТАН-2;Не требуется;12;5900;2017-07-31
64;АМИТАН-3;Не требуется;7;5800;2015-05-02
65;АМОКСИКЛАВ БОЛЮСЫ;Требуется;18;5600;2021-01-31
66;АМОКСИКЛАВ ПОРОШОК;Не требуется;18;4450;2012-10-10
67;АМОКСИМАГ;Не требуется;23;4150;2021-07-19
68;АМОКСИСАН;Требуется;7;8450;2016-10-11
69;АМОКСИЦИЛЛИН 10 % ПОРОШОК;Не требуется;26;4400;2015-10-01
70;АМОКСИЦИЛЛИН 15 %;Требуется;16;2000;2015-03-30
71;АМОКСИЦИЛЛИН 15%;Требуется;28;2850;2020-08-30
72;АМОКСИЦИЛЛИН 150;Не требуется;26;9800;2010-01-18
73;АМОКСОИЛ РЕТАРД;Требуется;28;8700;2021-06-24
74;АМПРОБЕЛ;Требуется;5;1800;2015-03-08
75;АМПРОЛИУМ 30%;Требуется;14;1600;2018-08-20
76;АМПРОЛИУМ-25;Требуется;19;8250;2019-05-13
77;АМУРИЛ 50 %;Требуется;14;1800;2016-02-14
78;АМУС;Требуется;13;5700;2018-03-12
79;АНАЛЬГИВЕТ;Не требуется;22;4950;2012-12-28
80;АНАНДИН;Требуется;25;1200;2020-09-16
81;АНАНДИН ПЛЮС;Требуется;26;7950;2021-06-24
82;АНЗАЦИКЛИН;Не требуется;17;4550;2020-09-07
83;АНОТЕН;Не требуется;30;7900;2012-09-26
84;АНТИ-ФЛИ СПРЕЙ;Не требуется;29;7650;2018-06-05
85;АНТИБАК 100;Требуется;5;9700;2011-12-31
86;АНТИБАК 250;Не требуется;16;8250;2014-10-15
87;АНТИБАК 2500;Не требуется;11;1350;2018-03-15
88;АНТИБАК 500;Требуется;21;3900;2019-08-05
89;АНТИГЕНЫ ЯЩУРНЫЕ;Не требуется;5;9200;2018-08-29
90;АНТИПАР;Не требуется;7;5950;2020-11-26
91;АНТИСЕДАН;Требуется;24;6350;2016-10-14
92;АНТИФЛИ КАПЛИ ИНСЕКТО-АКАРИЦИДНЫЕ;Требуется;15;7900;2017-12-23
93;АПИАСК полоски;Требуется;7;5500;2020-05-28
94;АПИАСК порошок;Требуется;16;9700;2020-11-02
95;АПИГЕЛЬ;Не требуется;19;9850;2017-12-24
96;АПИДЕЗ;Требуется;28;8450;2017-06-01
97;АПИЛИНОЛ;Требуется;26;4650;2010-12-30
98;АПИМИЛ;Не требуется;11;4850;2011-03-25
99;АПИРОЙ;Не требуется;27;7350;2011-10-06
100;АПИСИЛ;Требуется;23;5900;2013-12-20
101;АПИСТАН;Не требуется;9;6250;2017-12-05
102;АПИСТИМ;Требуется;30;2650;2014-03-18
103;АПКАРД;Требуется;16;5300;2021-07-27
104;АПОКВЕЛ;Не требуется;5;9200;2019-11-16
105;АПРАМИЦИН;Не требуется;21;5800;2013-09-21
106;АПРАМИЦИН ПОРОШОК;Требуется;19;9250;2010-07-08
107;АПРАМИЦИНА СУЛЬФАТА 20% РАСТВОР;Требуется;19;3950;2013-11-17
108;АПТЕРИН;Не требуется;18;7300;2014-04-13
109;АПТЕРИН-КОГОТЬ;Не требуется;15;6150;2010-05-13
110;АРАТАМ-БРИКЕТЫ;Требуется;28;4450;2014-01-15
111;АРАТАМ-КОНЦЕНТРАТ;Требуется;30;1950;2011-06-21
112;АРАТАМ-ПРИМАНКА;Требуется;21;5950;2011-03-13
113;АРМАЦИД;Требуется;16;4900;2013-07-16
114;АРТРОВЕТ КОМПЛЕКС;Требуется;6;6550;2014-07-15
115;АРТРОГЛИКАН;Не требуется;21;8050;2015-05-27
116;АСД – 2;Не требуется;22;1900;2014-10-24
117;АСД – 3;Требуется;20;5900;2019-06-23
118;АСЕПТИК-МЛ;Не требуется;15;2400;2014-06-01
119;АСЕПТИК-СПЕЦИАЛЬ;Не требуется;24;7850;2014-02-28
120;АСЕПУР;Не требуется;11;3650;2013-02-03
121;АСК-70;Требуется;28;1100;2018-10-04
122;АСКОВЕТ;Требуется;6;7250;2012-10-15
123;АСКОНАЗОЛ;Не требуется;8;4550;2012-12-16
124;АСКОПОЛ;Не требуется;20;3350;2016-09-29
125;АСКОСАН;Не требуется;22;3350;2016-04-15
126;АТИМПАНОЛ;Требуется;5;3550;2021-08-20
127;АТОПИКА;Не требуется;5;6750;2018-03-02
128;АТРАУМАН АГ;Требуется;13;2950;2014-12-19
129;АФАСЦИЛ;Требуется;15;3400;2015-10-05
130;АЦИДОКС;Требуется;13;2800;2017-03-17
131;АЦИЛОМАГ;Не требуется;27;7050;2015-12-01
132;АЭРАЛЬФАМ;Требуется;21;4950;2010-06-25
133;БАБЕЗАН 4% и 12% РАСТВОР ДЛЯ ИНЬЕКЦИЙ;Не требуется;9;5800;2010-06-20
134;БАЙКОКС 5%;Не требуется;11;1900;2017-04-23
135;БАЙМАЙТ;Не требуется;13;3200;2018-03-12
136;БАЙМЕК;Требуется;22;8900;2013-01-30
137;БАЙМИЦИН АЭРОЗОЛЬ;Требуется;13;3750;2014-09-01
138;БАЙОКЛАВ IMM LC;Требуется;23;5600;2021-05-10
139;БАЙОКЛОКС DC;Не требуется;13;4650;2014-03-28
140;БАЙОФЛАЙ ПУР-ОН;Не требуется;11;1350;2018-04-22
141;БАЙТРИЛ 10 % Раствор для инъекций;Не требуется;15;7800;2016-05-04
142;БАЙТРИЛ 10 % Раствор для орального применения;Не требуется;12;3300;2013-09-13
143;БАЙТРИЛ 5 %;Требуется;6;4150;2018-05-19
144;БАЙТРИЛ МАКС 10 % Раствор для инъекций;Не требуется;7;2550;2013-04-28
145;БАЙЦИДАЛ ВП 25;Не требуется;17;3200;2015-07-09
146;БАКСИН;Не требуется;26;7250;2014-09-22
147;БАКТОНЕОТИМ;Требуется;30;5300;2021-01-30
148;БАКТОПОЛ;Не требуется;20;4350;2015-06-06
149;БАЛЬЗАМ БАКТИВЕТ С АСД;Требуется;16;4050;2010-06-25
150;БАЛЬЗАМ ДОРОГОВОЙ;Не требуется;9;2950;2021-04-20
151;БАЛЬЗАМ-ОПОЛАСКИВАТЕЛЬ ЛЕСНОЙ;Требуется;10;4300;2012-03-27
152;БАЛЬЗАМ-ОПОЛАСКИВАТЕЛЬ МОРСКОЙ;Не требуется;23;4950;2014-06-25
153;БАРС КАПЛИ ИНСЕКТО-АКАРИЦИДНЫЕ;Не требуется;5;3600;2014-10-25
154;БАРС КАПЛИ УШНЫЕ;Не требуется;18;3300;2020-03-09
155;БАРС ЛОСЬОН ДЛЯ ЧИСТКИ УШЕЙ;Не требуется;21;7950;2019-10-31
156;БАРС ОШЕЙНИК ИНСЕКТО-АКАРИЦИДНЫЙ;Требуется;22;8750;2020-02-26
157;БАРС СПРЕЙ ИНСЕКТО-АКАРИЦИДНЫЙ;Не требуется;20;8150;2016-05-03
158;БАРС ФОРТЕ КАПЛИ ИНСЕКТО-АКАРИЦИДНЫЕ;Требуется;28;7550;2017-02-08
159;БАРС ФОРТЕ КАПЛИ УШНЫЕ;Требуется;15;7250;2018-01-31
160;БАЦИЛИХИН;Требуется;17;4650;2012-02-02
161;БЕЙСИК;Требуется;17;5550;2020-12-04
162;БЕНЗИЛПЕНИЦИЛЛИН НАТРИЕВАЯ СОЛЬ;Не требуется;25;9000;2021-08-12
163;БЕСТ ИН ШОУ;Требуется;11;9100;2016-03-02
164;БЕТАМОКС LA;Требуется;9;3300;2012-01-24
165;БЕТАФИН S1;Не требуется;20;1600;2015-09-30
166;БИАНОЛ;Не требуется;14;1250;2011-08-09
167;БИВАРООЛ;Требуется;18;7200;2016-05-10
168;БИВЕРМЕКТИН;Не требуется;25;5100;2018-02-24
169;БИЛОЗИН-200;Не требуется;12;6050;2010-04-15
170;БИМЕКТИН;Не требуется;29;4950;2016-12-01
171;БИМОКСИЛ LА;Требуется;13;6250;2021-03-17
172;БИНАКАР;Не требуется;21;2750;2010-03-04
173;БИО-МОС;Требуется;8;1800;2021-08-30
174;БИОВАК;Требуется;26;1500;2017-04-18
175;БИОВЕРМИН ПОРОШОК;Не требуется;19;6150;2018-03-19
176;БИОВЕТАЛЬГИН инъекционный;Требуется;23;7300;2012-11-12
177;БИОВИТ;Требуется;14;8800;2020-12-20
178;БИОВИТ Р-150;Не требуется;24;7750;2011-03-30
179;БИОГЕЛЬ 10;Требуется;24;6900;2010-07-14
180;БИОГЕЛЬ 5;Не требуется;6;6950;2016-01-19
181;БИОЗОЛЬ;Требуется;21;5300;2017-09-06
182;БИОКОРРЕКТОР РД;Не требуется;21;3900;2018-06-29
183;БИОЛИЗ;Не требуется;16;1500;2010-12-23
184;БИОЛИЗИН АРТРО ДЛЯ ДОГООБРАЗНЫХ ПОРОД;Не требуется;11;5700;2016-11-02
185;БИОЛИЗИН АРТРО ДЛЯ ОХОТНИЧЬИХ И СЛУЖЕБНО-СПОРТИВНЫХ ПОРОД;Требуется;23;6950;2016-06-03
186;БИОМЕТРОСАНИТ;Требуется;21;9300;2017-04-17
187;БИОНОР;Требуется;20;4450;2010-07-19
188;БИОПЛЮС 2Б;Требуется;24;7000;2019-11-08
189;БИОР-1;Не требуется;13;5550;2015-08-30
190;БИОР-Н;Требуется;22;8800;2013-05-06
191;БИОРЕКС-ГХ;Не требуется;7;4900;2013-03-20
192;БИОРИТМ-КОНТРОЛЬ;Не требуется;15;6450;2013-03-30
193;БИОСАНИТ;Не требуется;6;1500;2015-03-05
194;БИОСОЛВ ПЛЮС;Не требуется;15;7600;2013-09-02
195;БИОТЕК;Не требуется;17;6800;2016-04-06
196;БИОФАРМ-120;Требуется;6;9000;2010-12-04
197;БИОФОМ;Не требуется;26;8900;2012-12-29
198;БИОЦЕФИТ;Не требуется;8;1850;2014-06-26
199;БИПИН;Требуется;20;2900;2016-11-14
200;БИПИН-Т;Требуется;9;7900;2013-10-05
201;БИФИДУМ-СХЖ;Требуется;28;4850;2011-09-17
202;БЛОХНЭТ КАПЛИ ИНСЕКТО-АКАРИЦИДНЫЕ;Не требуется;22;5200;2010-12-10
203;БЛОХНЭТ СПРЕЙ ИНСЕКТО-АКАРИЦИДНЫЙ;Не требуется;9;7150;2016-04-17
204;БОЛЬФО АЭРОЗОЛЬ;Не требуется;30;4950;2014-09-11
205;БОЛЬФО ПУДРА;Требуется;12;5600;2020-08-25
206;БОЛЬФО ШАМПУНЬ;Не требуется;15;7350;2017-08-28
207;БОНХАРЕН;Не требуется;23;7000;2019-06-20
208;БОНХАРЕН ФОРТЕ;Не требуется;14;8100;2010-12-12
209;БРАВЕКТО;Не требуется;19;3600;2015-10-12
210;БРАВЕКТО СПОТ ОН;Не требуется;10;3050;2016-12-25
211;БРАНОЛИНД Н;Требуется;26;9850;2021-01-04
212;БРОМКОЛИН;Требуется;7;9150;2019-11-08
213;БРОМОДОКС;Не требуется;9;5600;2012-09-10
214;БРОМОСЕПТ-50;Не требуется;9;3200;2018-07-29
215;БУТОКС 50;Не требуется;27;5450;2011-01-23
216;ДАНА КАПЛИ ИНСЕКТО-АКАРИЦИДНЫЕ;Не требуется;8;3100;2011-02-03
217;ДАНА СПРЕЙ ИНСЕКТО-АКАРИЦИДНЫЙ;Требуется;12;4850;2012-12-11
218;ДАНА УЛЬТРА КАПЛИ ИНСЕКТО-АКАРИЦИДНЫЕ;Требуется;25;1550;2014-03-29
219;ДАНА УЛЬТРА ОШЕЙНИК ПРОТИВОПАРАЗИТАРНЫЙ;Требуется;29;1350;2021-07-20
220;ДЕГОТЬ;Требуется;30;4800;2018-12-20
221;ДЕЗ-1;Требуется;10;6350;2019-09-24
222;ДЕЗАМИН;Требуется;11;5100;2015-09-20
223;ДЕЗАЦИД;Требуется;10;7500;2014-12-12
224;ДЕЗИНПОЛ;Не требуется;5;2800;2020-12-26
225;ДЕЗИНФЕКСАН;Требуется;25;8200;2019-12-11
226;ДЕКОР-1;Требуется;19;6850;2017-09-09
227;ДЕКОР-2;Не требуется;7;3450;2015-01-09
228;ДЕКСАФОРТ;Не требуется;6;6100;2011-08-10
229;ДЕКТА;Не требуется;22;6250;2010-07-18
230;ДЕКТА-2;Не требуется;12;4500;2013-02-06
231;ДЕКТОМАКС;Не требуется;6;6100;2016-05-07
232;ДЕЛЕГОЛЬ;Не требуется;15;4600;2013-10-18
233;ДЕМОС;Требуется;22;7750;2018-04-22
234;ДеМоС;Требуется;28;2700;2015-06-09
235;ДЕМОС-ЛЮКС;Не требуется;28;5250;2010-11-15
236;ДЕНАГАРД 10 % ПОРОШОК;Не требуется;24;4050;2021-04-28
237;ДЕННИЦА ГЕЛЬ;Требуется;27;5750;2010-10-18
238;ДЕНТАВЕДИН;Не требуется;14;6650;2021-07-04
239;ДЕПОЛЕН;Требуется;10;9750;2011-10-28
240;ДЕРАТ ТВЕРДЫЕ БРИКЕТЫ;Требуется;17;7600;2014-04-11
241;ДЕРМАТОЗОЛЬ;Не требуется;30;3100;2010-08-12
242;ДЕРМИКОЦИД;Требуется;20;4900;2012-03-23
243;ДЕТОКС;Не требуется;5;4850;2017-06-03
244;ДЕФТОРФОСФАТ КОРМОВОЙ;Не требуется;22;4800;2015-09-02
245;ДЕХИНЕЛ ПЛЮС ДЛЯ СОБАК;Требуется;8;8350;2015-11-15
246;ДЕХИНЕЛ ПЛЮС ДЛЯ СОБАК СО ВКУСОМ МЯСА;Требуется;10;9050;2013-08-16
247;ДЖИМКЕТ УРИНАРИ ПАСТА;Требуется;5;1450;2017-01-27
248;ДИАГЕЛЬ;Требуется;25;2650;2018-10-18
249;ДИАГНОСТИКУМЫ ЭРИТРОЦИТАРНЫЕ ТИПОСПЕЦИФИЧЕСКИЕ;Требуется;26;9250;2017-05-02
250;ДИАЗИНОН С;Требуется;20;4950;2012-03-19
251;ДИАРИН;Требуется;20;8200;2011-01-27
252;ДИАРКАН;Не требуется;21;4350;2020-05-04
253;ДИГИТОН капли;Не требуется;6;1550;2021-05-15
254;ДИЕНОМАСТ;Не требуется;6;2700;2016-06-14
255;ДИЗПАРКОЛ;Не требуется;19;1700;2011-08-19
256;ДИКЛАКОКС ФОРТЕ;Требуется;29;6750;2012-05-25
257;ДИКСАМ;Не требуется;13;5550;2017-08-04
258;ДИОКСИДИН 1 % РАСТВОР;Не требуется;28;6850;2021-04-21
259;ДИОКСИЛАН 1 % РАСТВОР;Требуется;12;3650;2015-05-31
260;ДИОМЕТР;Требуется;26;4000;2015-10-28
261;ДИОФУР;Не требуется;24;7500;2011-12-15
262;ДИПАЛ КОНЦЕНТРАТ;Не требуется;13;7800;2013-02-13
263;ДИПЕНТАВАК;Не требуется;22;8250;2011-11-27
264;ДИПРОВАН;Требуется;11;7100;2020-11-20
265;ДИПРОКАРБ;Не требуется;7;3250;2011-02-23
266;ДИРОНЕТ СУСПЕНЗИЯ;Требуется;14;3300;2010-09-26
267;ДИРОФЕН ТАБЛЕТКИ;Не требуется;13;8750;2020-11-22
268;ДИРОФЕН-ПАСТА;Не требуется;9;3500;2015-04-17
269;ДИРОФЕН-СУСПЕНЗИЯ;Не требуется;6;5950;2013-04-26
270;ДИТРИМ;Требуется;11;4700;2015-07-03
271;ДИТРИМ ПОРОШОК;Не требуется;7;3850;2015-05-28
272;ДИФЕНАЦИН 1 % МАСЛЯНЫЙ РАСТВОР (МРД);Не требуется;10;4300;2012-11-21
273;ДИФЕНАЦИН СУБСТАНЦИЯ;Не требуется;17;9750;2019-02-14
274;ДИФУМАСТ;Требуется;26;8250;2019-06-11
275;ДИФУР;Требуется;16;7650;2019-03-16
276;ДИФУРОЛ А;Требуется;22;3850;2017-12-10
277;ДИФУРОЛ Б;Требуется;8;4900;2017-01-21
278;ДМ СИД-С;Не требуется;11;5700;2015-07-22
279;ДОБРОГРЫЗЯ;Требуется;25;2150;2013-12-17
280;ДОБРОКОТЯ;Не требуется;13;7900;2021-09-03
281;ДОБРОПЁСА;Требуется;25;3100;2015-02-03
282;ДОКСИВИТ 10 %;Не требуется;22;4350;2016-12-13
283;ДОКСИКЛИН 20 %;Не требуется;13;4150;2017-06-24
284;ДОКСИЛОКС;Не требуется;10;2400;2014-03-01
285;ДОКСИМАГ;Не требуется;18;1150;2015-10-10
286;ДОКСИМАГ-О;Не требуется;18;9550;2015-07-15
287;ДОКСИМЕТРИН;Не требуется;25;1750;2018-08-10
288;ДОМИТОР;Не требуется;6;7900;2013-08-16
289;ДОРБЕН;Требуется;19;2800;2020-12-16
290;ДОРИН;Требуется;21;3950;2013-07-11
291;ДОРИН-Р;Не требуется;24;2450;2012-06-02
292;ДОСАЛИД;Не требуется;11;4550;2014-11-13
293;ДОСТИМ;Требуется;9;7950;2016-10-04
294;ДП 2;Не требуется;22;7000;2018-07-29
295;ДП-2Т;Требуется;27;3900;2018-10-11
296;ДРАКСИН;Требуется;10;5600;2017-08-09
297;ДРОЖЖИ ПИВНЫЕ;Требуется;12;1050;2015-08-10
298;ДРОЖЖИ-СФК;Не требуется;27;1950;2021-08-07
299;ДРОНТАЛ ДЖУНИОР;Требуется;30;7650;2017-06-27
300;ДРОНТАЛ;Требуется;13;4250;2011-03-27
301;ДРОНТАЛ ПЛЮС;Не требуется;8;7450;2018-05-22
302;ДЮФАЛАЙТ;Не требуется;16;8400;2018-02-06
303;КEТОНИЛ;Требуется;9;8400;2017-03-27
304;КАЙОД;Требуется;25;4300;2016-11-26
305;КАЛИЯ ЙОДАТ СУБСТАНЦИЯ;Требуется;16;7100;2015-10-13
306;КАЛИЯ ЙОДИД СУБСТАНЦИЯ;Требуется;28;4450;2019-04-17
307;КАЛЬВОМИЛК-12;Не требуется;14;9200;2018-07-12
308;КАЛЬВОМИЛК-16;Не требуется;14;2100;2019-06-09
309;КАЛЬФОСЕТ;Требуется;5;8300;2018-04-08
310;КАЛЬФОСТОНИК;Не требуется;30;6450;2017-09-06
311;КАЛЬЦЕНОН;Не требуется;18;5100;2012-04-19
312;КАЛЬЦЕФИТ-1;Требуется;5;2050;2019-12-13
313;КАЛЬЦЕФИТ-14;Требуется;30;9800;2020-05-29
314;КАЛЬЦЕФИТ-15;Требуется;16;5400;2021-02-18
315;КАЛЬЦИТАТ С50;Не требуется;12;3300;2016-07-19
316;КАЛЬЦИЯ БОРГЛЮКОНАТ (МАГ);Не требуется;29;3600;2013-03-06
317;КАЛЬЦИЯ БОРГЛЮКОНАТ (Нита);Требуется;19;4150;2010-03-08
318;КАМЕДОН;Не требуется;21;7700;2011-09-15
319;КАНАМИЦИН 10 %;Не требуется;29;7400;2011-02-09
320;КАНИАГИЛ;Требуется;13;6050;2015-12-26
321;КАНИГЕН DHA2PPi/L;Требуется;11;5350;2016-11-05
322;КАНИГЛО;Требуется;16;9900;2017-06-18
323;КАНИКВАНТЕЛ ПЛЮС;Требуется;17;7600;2014-10-13
324;КАНИНСУЛИН;Требуется;23;4000;2017-03-18
325;КАНТАРЕН РАСТВОР ДЛЯ ИНЪЕКЦИЙ;Требуется;15;5600;2020-05-24
326;КАНТАРЕН ТАБЛЕТКИ;Требуется;24;4550;2019-06-17
327;КАПЛИ ГЛАЗНЫЕ БАРС;Требуется;27;1350;2021-05-12
328;КАПЛИ ГЛАЗНЫЕ ИРИС;Требуется;23;2850;2013-10-24
329;КАПЛИ ГЛАЗНЫЕ ЦИПРОВЕТ;Требуется;11;5650;2012-05-09
330;КАПЛИ ГЛАЗНЫЕ-ИНТРАНАЗАЛЬНЫЕ АНАНДИН;Требуется;9;8850;2020-06-06
331;КАПЛИ УШНЫЕ АНАНДИН;Требуется;8;6050;2016-06-18
332;КАРДАЛИC;Требуется;7;5100;2015-10-16
333;КАРНИВАК-КОВ;Требуется;26;9350;2020-12-16
334;КАРОЛИН +Se;Не требуется;6;6050;2012-07-12
335;КАРОФЕРТИН;Требуется;25;7300;2020-07-24
336;КАРСУЛЕН;Не требуется;9;3700;2020-09-24
337;КАТОБЕВИТ;Требуется;17;9300;2014-03-11
338;КАТОЗАЛ;Не требуется;22;6000;2016-01-21
339;КАФОРСЕН РАСТВОР ДЛЯ ИНЪЕКЦИЙ;Требуется;20;6400;2017-09-26
340;КАФОРСЕН РАСТВОР ДЛЯ ПЕРОРАЛЬНОГО ПРИМЕНЕНИЯ;Не требуется;6;9100;2011-05-30
