1,Аббревиатоз,2014-05-22,Легкая,Не требуется
2,Абсцесс,2018-06-09,Тяжелая,Требуется
3,Абсцесс глазницы,2017-12-08,Средняя,Не требуется
4,Абсцесс зуба,2016-11-30,Средняя,Не требуется
5,Абсцесс кишечника,2012-07-12,Тяжелая,Требуется
6,Абсцесс легкого,2014-04-16,Легкая,Не требуется
7,Абсцесс мозга,2017-11-24,Средняя,Не требуется
8,Абсцесс мозжечка,2017-09-27,Средняя,Не требуется
9,Абсцесс полости рта,2014-09-23,Тяжелая,Требуется
10,Абсцесс предстательной железы,2010-11-14,Тяжелая,Требуется
11,Абсцесс селезенки,2017-04-16,Легкая,Не требуется
12,Абфракция,2015-07-25,Легкая,Не требуется
13,Авитаминоз,2016-12-12,Легкая,Не требуется
14,Авиттеллиноз,2018-10-10,Легкая,Не требуется
15,Агалактия,2019-05-03,Тяжелая,Требуется
16,Агенезия и Аплазия,2018-01-04,Тяжелая,Требуется
17,Агнозия,2016-04-07,Легкая,Не требуется
18,Агорафобия,2012-09-07,Тяжелая,Требуется
19,Агранулоцитоз,2019-03-21,Тяжелая,Требуется
20,Адгезивный средний отит,2011-03-14,Легкая,Не требуется
21,Аддисонический криз,2018-07-16,Средняя,Не требуется
22,Аддисонов криз,2019-07-08,Тяжелая,Требуется
23,Аденовирус,2016-01-19,Тяжелая,Требуется
24,Аденовирусная инфекция,2010-03-14,Тяжелая,Требуется
25,Аденовирусная инфекция КРС,2016-04-10,Средняя,Не требуется
26,Аденовирусная инфекция у детей,2015-01-30,Легкая,Не требуется
27,Аденовирусный кератоконъюнктивит,2021-04-08,Легкая,Не требуется
28,Аденовирусный конъюнктивит,2017-10-09,Тяжелая,Требуется
29,Аденовирусный энтерит,2015-11-09,Легкая,Не требуется
30,Аденокарцинома,2017-02-05,Легкая,Не требуется
31,Аденокарцинома матки,2015-11-08,Средняя,Не требуется
32,Аденокарцинома предстательной железы,2016-11-05,Легкая,Не требуется
33,Аденома,2015-12-17,Легкая,Не требуется
34,Аденома гипофиза,2010-03-15,Тяжелая,Требуется
35,Аденома молочной железы,2020-03-24,Средняя,Не требуется
36,Аденома надпочечника,2010-11-07,Легкая,Не требуется
37,Аденома паращитовидной железы,2014-01-10,Тяжелая,Требуется
38,Аденома паращитовидных желез,2011-06-07,Легкая,Не требуется
39,Аденома предстательной железы,2021-09-11,Легкая,Не требуется
40,Аденома простаты,2016-07-24,Тяжелая,Требуется
41,Аденома сальной железы,2019-07-06,Тяжелая,Требуется
42,Аденома третьего века,2016-12-18,Тяжелая,Требуется
43,Аденома щитовидной железы,2015-01-31,Средняя,Не требуется
44,Аденоматозный полип,2019-09-30,Легкая,Не требуется
45,Аденомиоз,2016-04-28,Легкая,Не требуется
46,Аденофлегмона,2019-06-10,Средняя,Не требуется
47,Адентия,2020-10-28,Легкая,Не требуется
48,Адентия зубов,2019-10-04,Средняя,Не требуется
49,Адипозогенитальная дистрофия,2021-04-13,Тяжелая,Требуется
50,Аднексит,2013-02-08,Легкая,Не требуется
51,Адреногенитальное нарушение неуточненное,2018-11-12,Тяжелая,Требуется
52,Адреногенитальные расстройства,2019-06-01,Тяжелая,Требуется
53,Адреногенитальный синдром,2017-12-23,Средняя,Не требуется
54,Азооспермия,2011-09-25,Средняя,Не требуется
55,Азотное отравление,2014-05-23,Тяжелая,Требуется
56,Акантамебный кератит,2011-02-03,Средняя,Не требуется
57,Акантохейлонематоз,2019-05-24,Средняя,Не требуется
58,Акантоцефалезы,2019-03-19,Средняя,Не требуется
59,Акантоцефалёзы,2020-03-11,Легкая,Не требуется
60,Акарапидоз,2020-06-26,Средняя,Не требуется
61,Акариазы,2014-06-15,Средняя,Не требуется
62,Акародерматит,2013-03-30,Легкая,Не требуется
63,Аквагенная крапивница,2020-10-15,Средняя,Не требуется
64,Акрания,2018-03-06,Тяжелая,Требуется
65,Акрокефалия,2016-01-16,Тяжелая,Требуется
66,Акромегалия,2016-01-19,Тяжелая,Требуется
67,Акропахия,2013-08-10,Средняя,Не требуется
68,Актинический кератоз,2011-03-22,Средняя,Не требуется
69,Актинический ретикулоид,2019-08-11,Легкая,Не требуется
70,Актинический хейлит,2017-09-26,Легкая,Не требуется
71,Актиномикоз,2018-05-31,Легкая,Не требуется
72,Актиномикоз челюстно-лицевой области,2011-08-29,Легкая,Не требуется
73,Акушерские параличи,2015-09-02,Тяжелая,Требуется
74,Алеутская болезнь,2011-01-23,Средняя,Не требуется
75,Аллергические реакции на введение инсулина,2018-07-14,Тяжелая,Требуется
76,Аллергический бронхит,2011-01-07,Легкая,Не требуется
77,Аллергический ринит,2017-02-01,Тяжелая,Требуется
78,Аллопеция,2010-12-30,Легкая,Не требуется
79,Альвеококкоз,2014-10-11,Легкая,Не требуется
80,Альвеолярный протеиноз,2020-12-16,Средняя,Не требуется
81,Аляриоз,2013-01-28,Легкая,Не требуется
82,Анаэробная дизентерия,2019-11-21,Легкая,Не требуется
83,Анаэробная инфекционная энтеротоксемия,2015-06-08,Тяжелая,Требуется
84,Ангидроз,2012-02-08,Легкая,Не требуется
85,Анемия,2011-09-28,Легкая,Не требуется
86,Анизакидоз,2016-08-01,Легкая,Не требуется
87,Анизометропия,2018-05-31,Средняя,Не требуется
88,Анкилоз,2019-06-27,Средняя,Не требуется
89,Анкилостоматидозы плотоядных,2018-12-03,Тяжелая,Требуется
90,Аномалия развития дуги аорты,2012-04-16,Легкая,Не требуется
91,Анострия,2011-06-18,Средняя,Не требуется
92,Аортит,2020-03-24,Легкая,Не требуется
93,Апиосомоз,2020-11-20,Тяжелая,Требуется
94,Аплазия,2014-06-06,Легкая,Не требуется
95,Апластическая анемия,2010-12-03,Легкая,Не требуется
96,Апофаллоз,2014-07-20,Средняя,Не требуется
97,Апудома,2011-09-15,Тяжелая,Требуется
98,Арахноидальная киста,2015-04-16,Тяжелая,Требуется
99,Арахноэнтомозы,2011-02-12,Средняя,Не требуется
100,Аргентинская геморрагическая лихорадка,2016-10-28,Легкая,Не требуется
101,Артроз,2020-03-30,Средняя,Не требуется
102,Асептический серозный синовит,2015-01-06,Средняя,Не требуется
103,Аскаридиоз,2011-01-07,Средняя,Не требуется
104,Аскаридоз,2014-08-07,Средняя,Не требуется
105,Аспергиллома,2012-05-04,Легкая,Не требуется
106,Аспирационная пневмония,2011-04-26,Легкая,Не требуется
107,Астма,2018-03-13,Легкая,Не требуется
108,Асфиксия новорожденных,2010-04-05,Средняя,Не требуется
109,Атаксия Фридрейха,2020-08-23,Тяжелая,Требуется
110,Ателектаз,2013-11-28,Средняя,Не требуется
111,Атония преджелудков,2021-09-14,Легкая,Не требуется
112,Атопический дерматит,2017-11-22,Средняя,Не требуется
113,Атриовентрикулярная блокада,2015-07-10,Тяжелая,Требуется
114,Атрофия поджелудочной железы,2013-06-25,Средняя,Не требуется
115,Ауески болезнь,2011-01-12,Тяжелая,Требуется
116,Аутоиммунная гемолитическая анемия,2014-05-18,Легкая,Не требуется
117,Аутоиммунные болезни,2016-09-09,Тяжелая,Требуется
118,Аутоиммунный полиэндокринный синдром,2010-04-29,Тяжелая,Требуется
119,Афазия Брока,2012-08-08,Легкая,Не требуется
120,Афазия Вернике,2011-09-27,Легкая,Не требуется
121,Африканская чума,2019-12-28,Средняя,Не требуется
122,Ахалазия кардии,2015-12-17,Тяжелая,Требуется
123,Ахалазия крикофарингельная,2018-03-16,Средняя,Не требуется
124,Ахиллобурсит,2017-12-21,Средняя,Не требуется
125,Ахолия,2012-07-14,Тяжелая,Требуется
126,Ацетонемический синдром,2017-03-31,Тяжелая,Требуется
127,Бабезиоз,2019-10-16,Легкая,Не требуется
128,Базалиома,2020-07-18,Тяжелая,Требуется
129,Бактериальная пневмония,2012-02-26,Тяжелая,Требуется
130,Балантидиаз,2011-07-22,Легкая,Не требуется
131,Балантидиоз свиней,2015-06-01,Тяжелая,Требуется
132,Бартолинит,2017-02-12,Тяжелая,Требуется
133,Бесплодие самки,2017-09-10,Средняя,Не требуется
134,Бешенство,2015-06-20,Легкая,Не требуется
135,Блокада внутрисердечной проводимости,2013-10-08,Тяжелая,Требуется
136,Блокада сердца,2012-04-04,Средняя,Не требуется
137,Блохи,2017-03-02,Тяжелая,Требуется
138,Болезни век,2015-04-20,Легкая,Не требуется
139,Болезни кожи,2013-09-24,Легкая,Не требуется
140,Болезнь Абта-Леттерера-Сиве,2021-03-16,Тяжелая,Требуется
141,Болезнь Альцгеймера,2017-09-24,Легкая,Не требуется
142,Болезнь Гиппеля — Линдау,2013-11-26,Тяжелая,Требуется
143,Болезнь Горхема,2017-01-27,Легкая,Не требуется
144,Болезнь Дарье — Уайта,2021-08-25,Легкая,Не требуется
145,Болезнь Кашина — Бека,2013-01-29,Средняя,Не требуется
146,Болезнь Кирле,2010-05-26,Средняя,Не требуется
147,Болезнь Легга-Кальве-Пертеса,2010-06-11,Тяжелая,Требуется
148,Болезнь Минаматы,2016-12-26,Легкая,Не требуется
149,Болезнь Пика,2013-08-24,Легкая,Не требуется
150,Болезнь Рота — Бернгардта,2017-02-14,Тяжелая,Требуется
151,Болезнь Уиппла,2010-12-30,Тяжелая,Требуется
152,Болезнь Фавра-Ракушо,2016-10-20,Тяжелая,Требуется
153,Болезнь Шагаса,2012-03-31,Средняя,Не требуется
154,Болезнь Шейермана-Мау,2013-10-19,Легкая,Не требуется
155,Болезнь итай-итай,2013-07-17,Тяжелая,Требуется
156,Бородавчатая эпидермодисплазия,2012-12-21,Легкая,Не требуется
157,Боррелиоз,2014-06-05,Средняя,Не требуется
158,Ботулизм,2017-09-26,Легкая,Не требуется
159,Брадзот,2010-07-01,Средняя,Не требуется
160,Брахиметатарзия,2020-02-25,Легкая,Не требуется
161,Бридость,2014-05-16,Средняя,Не требуется
162,Бронхит,2013-11-02,Легкая,Не требуется
163,Бронхиты и их осложнения,2018-07-17,Средняя,Не требуется
164,Бронхопневмония,2013-12-10,Легкая,Не требуется
165,Бруцеллёз,2017-07-29,Легкая,Не требуется
166,Бубонная чума,2015-08-04,Средняя,Не требуется
167,Буллёзный эпидермолиз,2011-08-02,Тяжелая,Требуется
168,Бульбит,2015-02-26,Тяжелая,Требуется
169,Варроз,2011-06-17,Тяжелая,Требуется
170,Васкулиты,2014-11-17,Средняя,Не требуется
171,Везикулит,2016-03-07,Средняя,Не требуется
172,Везикулярная болезнь,2014-12-20,Тяжелая,Требуется
173,Везикулярная экзантема,2015-09-27,Легкая,Не требуется
174,Везикулярный стоматит,2012-06-13,Тяжелая,Требуется
175,Вестибулярный нейронит,2013-12-29,Тяжелая,Требуется
176,Вибриоз,2019-02-27,Средняя,Не требуется
177,Вирусная геморрагическая септицемия,2016-10-25,Легкая,Не требуется
178,Вирусный иммунодефицит,2018-12-14,Средняя,Не требуется
179,Висна-Маеди болезнь,2014-02-27,Средняя,Не требуется
180,Височная эпилепсия,2017-07-28,Тяжелая,Требуется
181,Водянка глаза,2011-06-11,Тяжелая,Требуется
182,Водянка плодных оболочек,2017-05-04,Тяжелая,Требуется
183,Водянка сердца,2016-04-10,Тяжелая,Требуется
184,Волосяной лишай,2011-12-22,Легкая,Не требуется
185,Вольфартиоз,2017-01-29,Легкая,Не требуется
186,Воспаление век,2013-07-06,Легкая,Не требуется
187,Воспаление конъюнктивы,2015-10-22,Легкая,Не требуется
188,Воспаление слезного мешка,2016-04-21,Средняя,Не требуется
189,Воспаление слёзной железы,2018-07-30,Средняя,Не требуется
190,Воспаление спинного мозга миелит,2021-01-10,Легкая,Не требуется
191,Воспаление среднего уха,2011-09-02,Тяжелая,Требуется
192,Впадина грудной клетки,2019-12-30,Легкая,Не требуется
193,Врожденные пороки ЦНС,2019-07-29,Легкая,Не требуется
194,Вторичная атония матки и задержка отделения последов,2014-12-14,Легкая,Не требуется
195,Вульвит,2014-05-29,Легкая,Не требуется
196,Вульводиния,2015-12-28,Средняя,Не требуется
197,Вывих глазного яблока,2015-10-04,Тяжелая,Требуется
198,Вывих коленной чашечки,2013-03-30,Средняя,Не требуется
199,Вывих локтевого сустава врожденный,2010-05-10,Средняя,Не требуется
200,Вывихи суставов и дисплазия,2010-11-11,Тяжелая,Требуется
201,Выворот век,2013-06-25,Легкая,Не требуется
202,Выпадение прямой кишки,2013-06-26,Тяжелая,Требуется
203,Габронемоз,2019-10-28,Легкая,Не требуется
204,Гамборо болезнь,2011-01-02,Тяжелая,Требуется
205,Ганглионеврит,2019-12-14,Тяжелая,Требуется
206,Гангулетеракидоз,2014-08-22,Средняя,Не требуется
207,Гаспинг-синдром,2015-04-20,Средняя,Не требуется
208,Гастрит острый катаральный,2020-10-11,Легкая,Не требуется
209,Гастрит хронический,2010-05-17,Легкая,Не требуется
210,Гастротиляксоз,2013-01-01,Легкая,Не требуется
211,Гастрофилёз,2013-08-01,Средняя,Не требуется
212,Гастроэзофагеальная рефлюксная болезнь,2017-09-11,Легкая,Не требуется
213,Гафниоз,2015-04-25,Средняя,Не требуется
214,Гемартроз,2013-06-30,Легкая,Не требуется
215,Гематома носовой перегородки,2012-07-15,Средняя,Не требуется
216,Гематома ушной раковины,2015-11-24,Легкая,Не требуется
217,Гематомиелия,2019-10-13,Тяжелая,Требуется
218,Гемифациальный спазм,2018-04-23,Средняя,Не требуется
219,Гемобартонеллёз кошек,2014-03-13,Средняя,Не требуется
220,Гемонхоз,2016-09-16,Тяжелая,Требуется
221,Геморрагический диатез,2012-10-08,Тяжелая,Требуется
222,Гемофилезный полисерозит,2015-05-27,Средняя,Не требуется
223,Гемохроматоз,2015-11-22,Средняя,Не требуется
224,Гепатит инфекционный,2015-01-19,Легкая,Не требуется
225,Гепатоз,2016-01-15,Тяжелая,Требуется
226,Гепатопатии хронические,2012-01-21,Средняя,Не требуется
227,Герметиоз,2017-04-30,Средняя,Не требуется
228,Герпес,2021-02-03,Средняя,Не требуется
229,Гибель новорожденных щенков,2016-12-23,Тяжелая,Требуется
230,Гидрометра,2012-07-30,Средняя,Не требуется
231,Гиперлексия,2012-06-27,Легкая,Не требуется
232,Гиперсенситивный пищевод,2015-05-24,Средняя,Не требуется
233,Гипертензивный церебральный криз,2019-07-13,Тяжелая,Требуется
234,Гипертонический криз,2012-05-04,Тяжелая,Требуется
235,Гиперчувствительность,2014-02-19,Средняя,Не требуется
236,Гиповитаминоз,2020-03-06,Средняя,Не требуется
237,Гиповитаминоз B1,2014-06-28,Тяжелая,Требуется
238,Гиповитаминоз B12,2019-01-12,Легкая,Не требуется
239,Гиповитаминоз B6,2011-10-05,Легкая,Не требуется
240,Гиповитаминоз D,2020-08-06,Тяжелая,Требуется
241,Гиповитаминоз А,2018-02-28,Средняя,Не требуется
242,Гиповитаминоз В2,2016-10-04,Средняя,Не требуется
243,Гиповитаминоз пантотеновой кислоты витамина В3,2021-08-11,Тяжелая,Требуется
244,Гиповитаминоз фолиевой кислоты,2016-04-01,Легкая,Не требуется
245,Гиповитаминоз холина витамина В4,2017-07-07,Средняя,Не требуется
246,Гиповитаминозы,2019-01-26,Средняя,Не требуется
247,Гипогалактия,2015-12-12,Легкая,Не требуется
248,Гипогликемическая кома,2017-05-18,Тяжелая,Требуется
249,Гипогликемия,2018-07-02,Тяжелая,Требуется
250,Гиподерматоз,2012-10-31,Тяжелая,Требуется
251,Гипоменорея,2015-09-07,Средняя,Не требуется
252,Гипопаратиреоз,2019-12-13,Средняя,Не требуется
253,Гипоплазия коркового вещества почек,2013-08-03,Легкая,Не требуется
254,Гипотиреоз,2018-08-11,Тяжелая,Требуется
255,Гипотония преджелудков,2019-04-11,Средняя,Не требуется
256,Гипохондроплазия,2016-02-03,Тяжелая,Требуется
257,Гистоплазмоз,2021-03-25,Тяжелая,Требуется
258,Глаукома,2012-04-09,Средняя,Не требуется
259,Гликогевзия,2017-06-12,Средняя,Не требуется
260,Гломерулонефрит острый диффузный,2012-07-09,Средняя,Не требуется
261,Глубокое воспаление век,2010-03-23,Тяжелая,Требуется
262,Глюкагонома,2015-09-25,Тяжелая,Требуется
263,Гнойные раны,2019-08-27,Легкая,Не требуется
264,Гнойный артрит,2011-02-19,Тяжелая,Требуется
265,Гнойный конъюнктивит,2016-02-05,Средняя,Не требуется
266,Гнойный миозит,2020-06-23,Легкая,Не требуется
267,Гнойный остеоартрит,2012-08-19,Средняя,Не требуется
268,Гнойный периостит,2012-08-13,Легкая,Не требуется
269,Гнойный синовит,2014-06-30,Легкая,Не требуется
270,Гнойный тендовагинит,2016-02-27,Тяжелая,Требуется
271,Гонгилонематоз,2012-09-30,Средняя,Не требуется
272,Гранулоцитопения,2017-06-12,Легкая,Не требуется
273,Гранулёзный конъюнктивит,2010-11-03,Средняя,Не требуется
274,Грипп,2019-05-17,Легкая,Не требуется
275,Грипп лошадей,2011-02-04,Средняя,Не требуется
276,Грыжа Шморля,2013-01-13,Легкая,Не требуется
277,Грыжа бедренная,2019-09-26,Легкая,Не требуется
278,Грыжа белой линии,2012-04-10,Средняя,Не требуется
279,Грыжа паховая,2012-01-01,Средняя,Не требуется
280,Грыжа пищеводного отверстия диафрагмы,2016-12-23,Средняя,Не требуется
281,Грыжи,2017-12-24,Легкая,Не требуется
282,Грязный дерматоз Дункана,2018-01-27,Тяжелая,Требуется
283,Губкообразная энцефалопатия,2013-03-06,Средняя,Не требуется
284,ДВС-синдром,2015-12-21,Легкая,Не требуется
285,Дакриоцистит,2015-11-28,Средняя,Не требуется
286,Двигательные и волевые расстройства,2021-08-17,Средняя,Не требуется
287,Двурогая матка,2014-08-03,Легкая,Не требуется
288,Дебильность,2012-03-06,Тяжелая,Требуется
289,Дегенеративно-дистрофическое заболевание диска,2021-03-06,Средняя,Не требуется
290,Дегенеративные и сосудистые болезни уха,2018-03-23,Тяжелая,Требуется
291,Дегенерация сетчатки пигментная,2015-09-29,Тяжелая,Требуется
292,Дегенерация сетчатки центральная,2013-01-06,Легкая,Не требуется
293,Дейтеранопия,2020-11-22,Тяжелая,Требуется
294,Декомпрессионная болезнь,2012-04-30,Тяжелая,Требуется
295,Декстрокардия,2016-11-29,Легкая,Не требуется
296,Делеции части хромосомы,2021-07-16,Легкая,Не требуется
297,Делирий,2020-08-31,Тяжелая,Требуется
298,Демиелинизация,2016-09-14,Тяжелая,Требуется
299,Демодекоз,2018-10-17,Тяжелая,Требуется
300,Демпинг-синдром,2018-06-03,Тяжелая,Требуется
301,Дерматит,2017-06-27,Легкая,Не требуется
302,Дерматит жуков-нарывников,2021-01-08,Средняя,Не требуется
303,Дерматобиаз,2013-12-26,Легкая,Не требуется
304,Дерматоз,2017-12-12,Тяжелая,Требуется
305,Дефицит 1α-гидроксилазы,2017-06-14,Тяжелая,Требуется
306,Дефицит селена,2015-08-19,Легкая,Не требуется
307,Диабетическая ангиопатия,2015-01-04,Тяжелая,Требуется
308,Диабетическая нейропатия,2015-04-23,Тяжелая,Требуется
309,Диабетическая нефропатия,2012-05-03,Тяжелая,Требуется
310,Дивертикул пищевода,2021-07-11,Тяжелая,Требуется
311,Дикроцелиоз,2020-02-22,Средняя,Не требуется
312,Дилатация предсердий,2017-11-16,Тяжелая,Требуется
313,Дилятационная кардиомиопатия,2014-07-13,Средняя,Не требуется
314,Дипилидиоз,2015-03-18,Тяжелая,Требуется
315,Диплококкоз,2018-02-12,Легкая,Не требуется
316,Дирофиляриоз,2011-07-28,Средняя,Не требуется
317,Дискинезия желчевыводящих путей,2012-10-12,Средняя,Не требуется
318,Дискинезия пищевода,2019-10-09,Средняя,Не требуется
319,Дископатия,2019-04-02,Легкая,Не требуется
320,Дисплазия тазобедренного сустава,2015-09-11,Легкая,Не требуется
321,Дистимия,2020-12-09,Тяжелая,Требуется
322,Дифиллоботриоз,2011-11-28,Тяжелая,Требуется
323,Диффузный спазм пищевода,2012-09-11,Тяжелая,Требуется
324,Доброкачественное позиционное пароксизмальное головокружение,2021-07-23,Тяжелая,Требуется
325,Долихоколон,2014-01-20,Тяжелая,Требуется
326,Долихосигма,2021-01-01,Средняя,Не требуется
327,Дранкорексия,2011-01-17,Средняя,Не требуется
328,Дромомания,2018-06-05,Тяжелая,Требуется
329,Желточный перитонит,2020-11-23,Средняя,Не требуется
330,Желудка расширение,2013-07-02,Тяжелая,Требуется
331,Желчного пузыря камни,2014-04-11,Средняя,Не требуется
332,Желчнокаменная болезнь,2020-01-17,Тяжелая,Требуется
333,Заворот век,2019-09-16,Легкая,Не требуется
334,Заворот доли легкого,2012-01-29,Легкая,Не требуется
335,Заворот желудка,2015-03-18,Легкая,Не требуется
336,Заворот рога беременной матки,2017-08-23,Тяжелая,Требуется
337,Заворот третьего века,2020-03-26,Тяжелая,Требуется
338,Закрытый гнойный синовит,2013-10-24,Средняя,Не требуется
